"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"ORAFP","NSS OLS",0.0103833333333333,0.049225,13.1307,0.997066666666667,12
"ORAFP","NSS WLS",0.0016,0.0140833333333333,24.1822833333333,0.494341666666667,12
"PCAR","Cubic Spline",0.0323166666666667,0.0675583333333333,0.349883333333333,2.45876666666667,12
"PCAR","NSS ECB",0.0109833333333333,0.02515,400.93615,0.550108333333333,12
"PCAR","NSS OLS",0.0334416666666667,0.0714166666666667,2.12001666666667,9.26718333333333,12
"PCAR","NSS WLS",0.0192166666666667,0.0421833333333333,159.492116666667,0.887791666666667,12
"PEMEX","NSS ECB",0,0,11.8775583333333,0.776375,12
"PEMEX","NSS OLS",0.0497,0.111266666666667,0,8.59650833333333,12
"PEMEX","NSS WLS",0.0401,0.100216666666667,1.14661666666667,5.97759166666667,12
"PG","Cubic Spline",0.0320166666666667,0.128933333333333,0.303275,0.784991666666667,12
"PG","NSS ECB",0.0320083333333333,0.188325,4.629075,0.127625,12
"PG","NSS OLS",0.04405,0.19645,2.234225,0.163458333333333,12
"PG","NSS WLS",0.039425,0.192016666666667,3.31650833333333,0.167391666666667,12
"PLNIJ","NSS ECB",0.00794166666666667,0.04275,0,0,12
"PLNIJ","NSS OLS",0.00794166666666667,0.04275,0,0,12
"PLNIJ","NSS WLS",0.00794166666666667,0.04275,0,0,12
"PM","NSS ECB",0,0,0.304533333333333,0.0540083333333333,12
"PM","NSS OLS",0,7.5e-05,0.31545,0.100325,12
"PM","NSS WLS",0,1e-04,0.550675,0.04145,12
"PROXBB","NSS ECB",0,0,0.545825,0.0745416666666667,12
"PROXBB","NSS OLS",0,1e-04,1.22514166666667,0.250166666666667,12
"PROXBB","NSS WLS",0,0.000108333333333333,4.47169166666667,0.134441666666667,12
"RBOSGR","Cubic Spline",0.0162,0.0480636363636364,0.0752272727272727,2.57539090909091,11
